title,description,real_salary
Программист 1С,"Высшее специализированное образование. Опыт работы в данной сфере. Стрессоустойчивость, коммуникабельность, исполнительность. Программирование и конфигурирование на базе платформы 1С 8.3. Поддержка, доработка разработанных подсистем.",78300.0
Инженер-программист,Знание принципов работы RTOS и опыт их использования в проектах на микроконтроллерах. - Опыт разработки электронных устройств на микропроцессорах ARM. -  Участие в разработке микропроцессорных устройств и контроллеров для мультимедиа периферии и IoT. - Разработка и написание ПО на языке С/С++...,150000.0
"Монтажер программы ""Beautytime""","Наличие опыта работы в программе Adobe Premiere. Опыт работы видеографом, монтажером, режиссером. Монтаж программы на канале, удаленная работа невозможна. Работа в соц.сетях. Работа по созданию дизайна программы, элементов, эффектов.",27500.0
Программист C#,Высшее техническое образование. Опыт работы: от 3-х лет в коммерческой разработке с использованием C#. Владение технологиями и инструментами: WPF... Рефакторинг и оптимизация. Разработка новых продуктов компании. Выполнение peer code review. Создание и исправление технической документации. Консультации внешних разработчиков.,225000.0
Продюсер образовательных программ,"Уверенный пользователь ПК. Умение работать с текстом. Умение находить нестандартные решения. Коммуникабельность. Готовность погружаться в тематику создаваемых образовательных проектов.  Создавать, загружать и администрировать контент для BoxBattle: Вопросы для тестирований и викторин. Наборы геймифицированных заданий, описывать содержимое и создавать текстовые...",30450.0
Инженер-программист (АСУ ТП),"Знание основ реляционных баз данных. Знание основ построения промышленных сетей. Знание основ «робототехники» будет преимуществом. Знание английского языка по специальности... Разработка верхнего и нижнего уровней программного обеспечения. Разработка программной документации в соответствии с ЕСПД. Разработка визуального интерфейса. Сбор, организация хранения...",62640.0
Программист 1С,Опыт работы с 1С (желательно ЗУП). Желание учиться и развиваться в этом направлении. Осуществление перехода с ЗУП 2.5 на ЗУП 3.1. Поддержка текущих конфигураций компании. Работа с запросами. Работа с отчетами. ,65000.0
Программист Python,"Знание Python или иных скриптовых языков с последующей миграцией на Python. Хорошее знание SQL. Умение и желание писать качественный, поддерживаемый... ",145725.0
Инженер-программист,Знание принципов работы RTOS и опыт их использования в проектах на микроконтроллерах. - Опыт разработки электронных устройств на микропроцессорах ARM. -  Участие в разработке микропроцессорных устройств и контроллеров для мультимедиа периферии и IoT. - Разработка и написание ПО на языке С/С++...,150000.0
Программист 1C,"Высшее / неоконченное высшее образование (математическое, техническое, информационные технологии, программная инженерия, прикладная математика и тд). Опыт программирования от 1 года.  Программирование, разработка в среде 1С:Предприятие (8.2, 8.3)?. Доработка конфигураций, форм, отчетов. Разработка нового функционала согласно техническому...",150000.0
