text,sentiment
I`m going to; eat-homework-tv-I don`t know yet...,neutral
" thanks, I deserve it.",positive
 nope not really only a sweatshirt.  oh and these really really awesome doughnuts haha,positive
 Looks like they dialed it in a LOT...payed attention to all the small but important details in gameplay...still no blood tho,neutral
 so close to tennessee,neutral
Got the sniffles   I SO don`t want to get sick - I don`t need this.,positive
"Just finished The Village. So in love,could watch it over and over! Wonder why I can`t get to sleep tonight",positive
All my loved ones are leaving on Sunday..... sad,negative
"Had a great day: beach, BBQ with old friends (it`s crazy that I`m old enough to have `old` friends!), & learned how to play texas holdem",positive
Late night...finally home.,neutral
" If you`ve jailbroken or went to 3.0 early, prepare to be bricked",negative
Gettin my cardio on right now. Walkin to the train station awww I so miss the gym,negative
is way too sleepy to be awake,neutral
I`m dragging myself out of the low point. Slowly. And with wine to assist. Prob not v sensible but these lows don`t hit very often.,neutral
going down the post office to try and sort this whole ebay hacker thing,negative
 hale yeahhh that`s the coolest part about it ;) hahaha. And I can match grieco!,positive
At the dentist for Hopes first check up. Lets she how she handles a dentist.,neutral
 omg!! I`m tweeting sooo late sorry I miss u 2 good times ...NO I didn`t marry him still great friends,neutral
"Colleague that 'helped' by creating his unit`s site in iWeb was NOT helpful. Trash code, 24 CSS files for a 4 page site, no optimizing.",negative
" Haha I know, I cant handle the fame!  and thank you!",positive
" I`m not sure.  Btw, YAY FOR WICKED TICKETS! That`s awesome! When are you going?",positive
" Have fun, hon! Ooh, look what a poet I am.",positive
 sorry missed your post earlier about Edinburgh.  I am biased towards its awesomeness!  Glad you enjoyed your visit,neutral
Feeling madly sorry for myself... - ï¿½Iï¿½M SECK D= Make me feel better  I should be going to a fashion show... http://tumblr.com/xz31werch,negative
i am so bored.,negative
 Problems seem to be fixed now! Thank you!,positive
Screw you guys and your prom pictures,negative
Gonna go make my Meme`s Mother`s day card then go hop in the shower and hop to sleep!!,neutral
thought Yes Man was good  had a blast with old friends tonight and heard some great music,positive
"ouuuuuuuuuchhhhhhhh, still hurting from the Barca spanking",negative
"http://twitpic.com/4w8l1 - Haaha, my bangs are kinda long..? oops",neutral
ok so i`m a lil happier now.. i hope i fixd my emails.. hope they weren`t hacked although it seemed really suspicious!!,neutral
"WFD: Lasagna. Still 45 minutes to go, so hungry now.",neutral
I`m always the last one in the office....especially on Friday,neutral
**** week all **** week  off to the gym now with the worst headache.,negative
Counting the hours of lost sunshine until the Weekend,negative
"I`m in tantra, anyone from kirki will know how sad this is, I`m drowning my sorrows ;)",neutral
 places to find you if you`re not home- marilyn and seria beach,neutral
 TOLD YOU!,neutral
"I am native, not french ! I hate this ! !  ! Trying to find animals in french, I SUCK, SOMEONE HELP PLEEEEEASE  ? Alone- Allison Iraheta ?",negative
good morning everbody!,positive
Oh good. I get to be the gooseberry all night now that katy isn`t coming,positive
" I had a joke for you, but it`s too long to tweet.",neutral
 THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,negative
 very cool,neutral
having my hair dyed today  ugh im bored. still tired from friday lol. swear down bossman ;),negative
" always come up when we have the money least, it`s the rotten law of averages",negative
 Love **** Magix it`s cool!!... great rhythm!!!,positive
I made this huge revelation as I was doing the dishes( that everyone left for me) and now I totally forgot it. I hate when that happens.,negative
 checked and commented,neutral
 of course it is   http://is.gd/kqSK,neutral
 They have a list of 50 state parks here in PA that are under consideration for closing. Nice ones too.,negative
"Oh and thank alllll of you who put me in ur Follow Friday!!  to all of my new followers I usually do it, but today...I`m just too tired!",negative
 why do you hate me!?,negative
Good mornin & no u tol twitter LOL but I knew & called u yesterday 2 see if u were okay but no answer  how r u feelin babe?,positive
"If all goes according to plan, you CSE RFID guinea pigs should have a **** FF extension to play with by the end of this week",neutral
 it was fun  Ate at mas.Thanks!!  Good luck w/ ur showing tomorrow.,negative
" Tom, I saw again a guy who looks like you in my campus today. He`s SOOO adorable... :') But you`re still cuter than him. Haha..",positive
 Awww my lovies! Yes I love it all.  And I`m totally finishing my buffalo sammich after a few hits off the new bongie. <3,positive
I hope they re-run this nerdprom later-  sounds like they`re having LOTS of fun.  Thanks all for the play-by-play,positive
 cool photo  is that outside your place?,neutral
`Look at the tadpole`... `No! ... Look at me!!!` ... Foolish dog  http://yfrog.com/05ixbj,negative
"Had to fix bike chain on the way to work...arrived a filthy, bloody mess   lovely weather though!",negative
Need to sleep but can`t,neutral
 I`m excited! Hust let me know when you want to go over to Lucky7 Tattoos,positive
 yeah I LOVE CALI so much,positive
sad day*Lakers please make me happy with a W,negative
There`s like no one I ACTUALLY know on this shizz! Am dum diggin` it,negative
"Alex slammed her head into the edge of the table about 30 min ago.  She`s going to have a nice, blue bruise.",negative
Never commute in the rain. The people get so much meaner to you.,negative
" I wish I was! well, for the past hour I have been. But before that I was in bed. Proper migraine!",negative
missed my friggin hair appt!!!,negative
I made a MySpace for Twitter with the name 'The Twitter Kingdom'. Here is the link: http://bit.ly/13PQtw  - join me!,neutral
seeing the gf 5 days in a row for a few hours each day is amazing-just wish the location wasn`t a hospital,positive
 hey  how are you?  x,neutral
" Yeeeeah...I am so much better off, I think!",positive
 Congrats on the knottie man!,positive
 hahahaha! i haven`t been out with my friends since sunday! i`m so lame,negative
 meeting the boy?,neutral
Getting used to this shoulder immobilizer thing. Even getting used to sleeping in the recliner.,neutral
_i_am_jes YAY! congrats! i`m afraid to check my grades!,neutral
Sick daddy  send prayer his way,negative
"Woke up really late today. Just had breakfast. Planning to stay home, watch TV shows and do nothing. Eat too.",neutral
wah....American Chocolate Cheese Cake for my chweet mummy ! muaxxx,positive
An extra night in pasadena with sergi baby cuz i `missed` my train to riverside,neutral
Listening to some house music!(what else?) I got a gig in San Francisco next Friday. BE THERE  details on my www.myspace.com/djspy,neutral
On my way to the airport! Headed to NYC,neutral
 aww...  try to rest na lang muna... ^^,neutral
_michele but sometimes not having to say nice things all the time is kinda fun  *teehee*and now I`ll put this back on as well *halo*,neutral
Watching Dr. Phil`s special on same-**** marriage. It`s sad how ignorant some people are,negative
"there are many jobs I aspire to, supervisor is not one of them  talk about too much stress for too little pay",negative
I finished  `s Zombie Chronicles a few days ago. It was bittersweet. Now I need something new for the gym,neutral
"I`m bored, extremely bored. in the car. waiting for my dad. and dinner. chinese. yummm.",neutral
knocked up is sooo godamn funny. never gets old  'you`re tupac. you`re biggie.' lol,positive
 hey mate fancy finden you on hea,neutral
"its at 3 am, im very tired but i can`t sleep",negative
" yes DON`T FORGET the koala pics   I`m pubquizzing tonight in the 11e if you`re back in time. Sinon, mardi?",neutral
sorry dunners just saw your tweet! totally let you down im so sorry babe  was at work till 8.30 very boooooo,negative
"the people are coming to kill my mouse on monday    i have mixed emotions.  i mean, he lives in my desk drawer!!",negative
big hair rock day today me thinks  here I go again to start xxxxx ? http://blip.fm/~5z4p7,neutral
